url,type
http://puffs.com/en-us/about-puffs/puffs-history,a
http://puffs.com/en-us/about-puffs/puffs-videos,a
http://puffs.com/en-us/about-puffs/sustainability,a
http://puffs.com/en-us/shop-products/lotion-tissue/puffs-plus-lotion,p
http://puffs.com/en-us/shop-products/lotion-tissue/puffs-plus-lotion,p
http://puffs.com/en-us/shop-products/non-lotion-tissue/puffs-basic,p
http://puffs.com/en-us/shop-products/non-lotion-tissue/puffs-ultra-soft-and-strong,p
http://puffs.com/en-us/shop-products/on-the-go-tissue/puffs-softpack,p
http://puffs.com/en-us/shop-products/on-the-go-tissue/puffs-to-go-pack,p
http://puffs.com/en-us/tips-and-articles/lemon-ginger-tea-recipe,a
